2019-11-05 15:56:22,b'#Stock #dealers too will #enjoy relaxed #provisioning against #losses in #mutual #fund https://t.co/ielwctbf34'
2019-11-05 15:53:56,"b'RT @RashadaWrites: Good morning, friends! #Happyday #enjoy  #nature #flowers \n\nhttps://t.co/q1MqsKwRKa #Writing\n\nFlowers dont worry'"
2019-11-05 15:53:22,"b'RT @RashadaWrites: Good morning, friends! #Happyday #enjoy  #nature #flowers \n\nhttps://t.co/q1MqsKwRKa #Writing\n\nFlowers dont worry'"
2019-11-05 15:51:51,b'#happy #new #month #guys #november #bless #christmas soon come #then happy new year #enjoy rest of the week @ Londo https://t.co/sE8249QyDK'
2019-11-05 15:49:01,b'RT @Devoxx: The #Devoxx Deep Dive sessions from yesterday are now available on our YouTube channel @ https://t.co/cWaub4FtdX  #Enjoy #KeepO'
2019-11-05 15:48:40,b'Happy #BonfireNight everyone!  #GuyFawkesNight #staysafe #Enjoy https://t.co/LpoJHVxESM'
2019-11-05 15:46:57,b'RT @RomaAntic19: #music #Spotify #sport \n#ASRoma published a selection of songs that were played at #StadioOlimpico for the last match play'
2019-11-05 15:46:34,"b'RT @RomaAntic19: #events #Rome #Enjoy #Italy \nFrom 08/11/2019 to 09/11/2019, there will be #Eataly #wine #festival in Piazzale 12 ottobre 1'"
2019-11-05 15:45:24,b'ANDREA #enjoy all the timeLove shiny days&amp;rainy daysThe life is wonderful https://t.co/wEq2elqK9k https://t.co/RYbVYaTFYA #animation'
2019-11-05 15:45:01,b'Beautiful quote for a beautiful day! Enjoy! #dalailama #happiness #happinessquotes #wellbeing #goodmorning https://t.co/8wvalaVbu1'
2019-11-05 15:44:49,b'Make Good Money and Enjoy Short Work Hours \n\nVisit  https://t.co/oJGNrIsu6a\n\n #Ads #Adverts #Make #Good #Money #Enjoy #Short #Work #Hours'
2019-11-05 15:43:54,"b'RT @RashadaWrites: Good morning, friends! #Happyday #enjoy  #nature #flowers \n\nhttps://t.co/q1MqsKwRKa #Writing\n\nFlowers dont worry'"
2019-11-05 15:41:58,b'@Lady_Kenya4 Happy Happy 43rd Birthday young lady Lady Kenya May Gods favoring grace be with you for many m https://t.co/kge13uyrVm'
2019-11-05 15:41:33,"b'RT @WilliamSpelts: As HS and youth hockey starts, it reminds me of the greatest times in my life.  If your still playing HS or youth hockey'"
2019-11-05 15:40:43,"b""I'd give my left nut for an IG report right about now.\n\n#MAGA #KAG #enjoy"""
